Name,Surname,Number,Sex,Starred
Korrie,Shearsby,3417599311,Female,true
Waldo,Gisborne,2329201900,Male,false
Winnie,Balke,4146231844,Male,false
Kailey,Beldum,3798239210,Female,false
Maddie,Cordsen,8982515206,Male,true
Duane,Pellington,3305704523,Male,true
Nikos,Janton,9825830083,Male,true
Mathilde,Witherdon,7596672462,Female,true
Kennie,Iacomini,8176967127,Male,false
Yuma,Backman,2382052002,Male,true
Arda,Bell,8648021810,Female,true
Ashli,Dillingham,3362450418,Female,true
Bernard,Ruddlesden,1457067921,Male,false
Wallie,Boyer,4908089797,Male,false
Bobby,de Juares,2811788437,Male,false
Valle,Strathman,9491917464,Male,false
Adan,Le Blanc,4058342782,Male,false
Iorgos,Flicker,4775894473,Male,false
Loralee,Blakesley,4174125387,Female,false
Tann,Gress,5213804259,Male,true
Griff,Foan,3011248964,Male,true
Kelcy,Stonebanks,2783912263,Female,false
Nessie,Stennett,1196900814,Female,true
Lawry,Triplet,8267305893,Male,false
Karlotta,Laybourn,1522039558,Female,false
Kenton,Whitfeld,2757043231,Male,true
Hanny,Boydell,3139724119,Female,true
Cob,Dunsmore,7682210992,Male,false
Shane,Slograve,1794296061,Male,true
Amby,Basilotta,5355822351,Male,false
Cully,Van der Hoeven,4331925917,Male,false
Gordie,Pohls,8436917787,Male,false
Moselle,Schustl,9866822999,Female,false
Dennet,Goseling,2707170565,Male,true
Nita,Osorio,3192175832,Female,false
Angelo,Hallet,4323262423,Male,true
Orren,Lenchenko,2009226623,Male,true
Perceval,Siege,5411710925,Male,false
Prinz,Rowell,9392570536,Male,false
Chryste,Senior,1178914275,Female,false
Antonia,Meegan,2827585812,Female,false
Gary,Kubicek,6743929264,Male,true
Doretta,Maharey,5274488055,Female,true
Vasili,Catonne,8634915928,Male,false
Aldon,Zecchinii,1653421301,Male,false
Ginevra,Fordham,1984344172,Female,true
Camile,Flower,1513797916,Female,false
Hieronymus,Fassman,6412028795,Male,true
Chryste,Grodden,8913148728,Female,true
Aleda,Veldens,8501394846,Female,true
